Year,Province,"Income, consumption and savings",UOM, VALUE 
2013,Northwest Territories,Transport,Dollars,0
2014,Northwest Territories,Transport,Dollars,0
2015,Northwest Territories,Transport,Dollars,12302
2016,Northwest Territories,Transport,Dollars,0
2017,Northwest Territories,Transport,Dollars,13012
2018,Northwest Territories,Transport,Dollars,13816
2019,Northwest Territories,Transport,Dollars,13678
2020,Northwest Territories,Transport,Dollars,11370
2010,Northwest Territories,Communications,Dollars,0
2011,Northwest Territories,Communications,Dollars,0
2012,Northwest Territories,Communications,Dollars,0
2013,Northwest Territories,Communications,Dollars,0
2014,Northwest Territories,Communications,Dollars,0
2015,Northwest Territories,Communications,Dollars,2583
2016,Northwest Territories,Communications,Dollars,0
2017,Northwest Territories,Communications,Dollars,2703
2018,Northwest Territories,Communications,Dollars,2605
2019,Northwest Territories,Communications,Dollars,2613
2020,Northwest Territories,Communications,Dollars,2687
2010,Northwest Territories,Recreation and culture,Dollars,0
2011,Northwest Territories,Recreation and culture,Dollars,0
2012,Northwest Territories,Recreation and culture,Dollars,0
2013,Northwest Territories,Recreation and culture,Dollars,0
2014,Northwest Territories,Recreation and culture,Dollars,0
2015,Northwest Territories,Recreation and culture,Dollars,7755
2016,Northwest Territories,Recreation and culture,Dollars,0
2017,Northwest Territories,Recreation and culture,Dollars,7731
2018,Northwest Territories,Recreation and culture,Dollars,8739
2019,Northwest Territories,Recreation and culture,Dollars,8574
2020,Northwest Territories,Recreation and culture,Dollars,9023
2010,Northwest Territories,Education,Dollars,0
2011,Northwest Territories,Education,Dollars,0
2012,Northwest Territories,Education,Dollars,0
2013,Northwest Territories,Education,Dollars,0
2014,Northwest Territories,Education,Dollars,0
2015,Northwest Territories,Education,Dollars,1329
2016,Northwest Territories,Education,Dollars,0
2017,Northwest Territories,Education,Dollars,680
2018,Northwest Territories,Education,Dollars,1237
2019,Northwest Territories,Education,Dollars,1257
2020,Northwest Territories,Education,Dollars,1245
2010,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2011,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2012,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2013,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2014,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2015,Northwest Territories,"Food, beverage and accommodation services",Dollars,8610
2016,Northwest Territories,"Food, beverage and accommodation services",Dollars,0
2017,Northwest Territories,"Food, beverage and accommodation services",Dollars,8416
2018,Northwest Territories,"Food, beverage and accommodation services",Dollars,9066
2019,Northwest Territories,"Food, beverage and accommodation services",Dollars,9093
2020,Northwest Territories,"Food, beverage and accommodation services",Dollars,6273
2010,Northwest Territories,Insurance and financial services,Dollars,0
2011,Northwest Territories,Insurance and financial services,Dollars,0
2012,Northwest Territories,Insurance and financial services,Dollars,0
2013,Northwest Territories,Insurance and financial services,Dollars,0
2014,Northwest Territories,Insurance and financial services,Dollars,0
2015,Northwest Territories,Insurance and financial services,Dollars,5302
2016,Northwest Territories,Insurance and financial services,Dollars,0
2017,Northwest Territories,Insurance and financial services,Dollars,5662
2018,Northwest Territories,Insurance and financial services,Dollars,5320
2019,Northwest Territories,Insurance and financial services,Dollars,5327
2020,Northwest Territories,Insurance and financial services,Dollars,5627
2010,Northwest Territories,Miscellaneous goods and services,Dollars,0
2011,Northwest Territories,Miscellaneous goods and services,Dollars,0
2012,Northwest Territories,Miscellaneous goods and services,Dollars,0
2013,Northwest Territories,Miscellaneous goods and services,Dollars,0
2014,Northwest Territories,Miscellaneous goods and services,Dollars,0
2015,Northwest Territories,Miscellaneous goods and services,Dollars,4564
2016,Northwest Territories,Miscellaneous goods and services,Dollars,0
2017,Northwest Territories,Miscellaneous goods and services,Dollars,4440
2018,Northwest Territories,Miscellaneous goods and services,Dollars,4682
2019,Northwest Territories,Miscellaneous goods and services,Dollars,4726
2020,Northwest Territories,Miscellaneous goods and services,Dollars,4445
2010,Northwest Territories,Social transfers in kind (STiK): education,Dollars,17885
2011,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18383
2012,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18503
2013,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18004
2014,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18282
2015,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18168
2016,Northwest Territories,Social transfers in kind (STiK): education,Dollars,17248
2017,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18848
2018,Northwest Territories,Social transfers in kind (STiK): education,Dollars,19347
2019,Northwest Territories,Social transfers in kind (STiK): education,Dollars,19004
2020,Northwest Territories,Social transfers in kind (STiK): education,Dollars,21264
2010,Northwest Territories,Social transfers in kind (STiK): health,Dollars,23550
2011,Northwest Territories,Social transfers in kind (STiK): health,Dollars,23959
2012,Northwest Territories,Social transfers in kind (STiK): health,Dollars,24176
2013,Northwest Territories,Social transfers in kind (STiK): health,Dollars,27095
2014,Northwest Territories,Social transfers in kind (STiK): health,Dollars,28861
2015,Northwest Territories,Social transfers in kind (STiK): health,Dollars,30305
2016,Northwest Territories,Social transfers in kind (STiK): health,Dollars,32935
2017,Northwest Territories,Social transfers in kind (STiK): health,Dollars,33625
2018,Northwest Territories,Social transfers in kind (STiK): health,Dollars,34554
2019,Northwest Territories,Social transfers in kind (STiK): health,Dollars,32623
2020,Northwest Territories,Social transfers in kind (STiK): health,Dollars,36061
2010,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19243
2011,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19366
2012,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19691
2013,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19474
2014,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21247
2015,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21863
2016,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21622
2017,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21871
2018,Northwest Territories,Social transfers in kind (STiK): other,Dollars,22407
2019,Northwest Territories,Social transfers in kind (STiK): other,Dollars,23296
2020,Northwest Territories,Social transfers in kind (STiK): other,Dollars,24874
2010,Nunavut,Household disposable income,Dollars," $101,228 "
2011,Nunavut,Household disposable income,Dollars," $102,023 "
2012,Nunavut,Household disposable income,Dollars," $106,776 "
2013,Nunavut,Household disposable income,Dollars," $106,122 "
2014,Nunavut,Household disposable income,Dollars," $109,578 "
2015,Nunavut,Household disposable income,Dollars," $110,546 "
2016,Nunavut,Household disposable income,Dollars," $107,809 "
2017,Nunavut,Household disposable income,Dollars," $107,709 "
2018,Nunavut,Household disposable income,Dollars," $106,746 "
2019,Nunavut,Household disposable income,Dollars," $102,921 "
2020,Nunavut,Household disposable income,Dollars," $122,173 "
2010,Nunavut,Compensation of employees,Dollars,97210
2011,Nunavut,Compensation of employees,Dollars,98919
2012,Nunavut,Compensation of employees,Dollars,102852
2013,Nunavut,Compensation of employees,Dollars,102096
2014,Nunavut,Compensation of employees,Dollars,107840
2015,Nunavut,Compensation of employees,Dollars,108850
2016,Nunavut,Compensation of employees,Dollars,104875
2017,Nunavut,Compensation of employees,Dollars,106151
2018,Nunavut,Compensation of employees,Dollars,107822
2019,Nunavut,Compensation of employees,Dollars,106069
2020,Nunavut,Compensation of employees,Dollars,112475
2010,Nunavut,Net mixed income,Dollars,15782
2011,Nunavut,Net mixed income,Dollars,15977
2012,Nunavut,Net mixed income,Dollars,16668
2013,Nunavut,Net mixed income,Dollars,16690
2014,Nunavut,Net mixed income,Dollars,16443
2015,Nunavut,Net mixed income,Dollars,16143
2016,Nunavut,Net mixed income,Dollars,16224
2017,Nunavut,Net mixed income,Dollars,15271
2018,Nunavut,Net mixed income,Dollars,14811
2019,Nunavut,Net mixed income,Dollars,14974
2020,Nunavut,Net mixed income,Dollars,14099
2010,Nunavut,Property income received,Dollars,5357
2011,Nunavut,Property income received,Dollars,5781
2012,Nunavut,Property income received,Dollars,6362
2013,Nunavut,Property income received,Dollars,6400
2014,Nunavut,Property income received,Dollars,6644
2015,Nunavut,Property income received,Dollars,7383
2016,Nunavut,Property income received,Dollars,6720
2017,Nunavut,Property income received,Dollars,7333
2018,Nunavut,Property income received,Dollars,8432
2019,Nunavut,Property income received,Dollars,8045
2020,Nunavut,Property income received,Dollars,7448
2010,Nunavut,Less: property income paid,Dollars,2455
2011,Nunavut,Less: property income paid,Dollars,1927
2012,Nunavut,Less: property income paid,Dollars,1697
2013,Nunavut,Less: property income paid,Dollars,1755
2014,Nunavut,Less: property income paid,Dollars,1635
2015,Nunavut,Less: property income paid,Dollars,1397
2016,Nunavut,Less: property income paid,Dollars,1325
2017,Nunavut,Less: property income paid,Dollars,1283
2018,Nunavut,Less: property income paid,Dollars,1346
2019,Nunavut,Less: property income paid,Dollars,1574
2020,Nunavut,Less: property income paid,Dollars,1269
2010,Nunavut,Current transfers received,Dollars,25335
2011,Nunavut,Current transfers received,Dollars,26550
2012,Nunavut,Current transfers received,Dollars,26190
2013,Nunavut,Current transfers received,Dollars,26943
2014,Nunavut,Current transfers received,Dollars,26372
2015,Nunavut,Current transfers received,Dollars,28634
2016,Nunavut,Current transfers received,Dollars,29721
2017,Nunavut,Current transfers received,Dollars,30434
2018,Nunavut,Current transfers received,Dollars,31306
2019,Nunavut,Current transfers received,Dollars,31654
2020,Nunavut,Current transfers received,Dollars,44262
2010,Nunavut,Less: current transfers paid,Dollars,40067
2011,Nunavut,Less: current transfers paid,Dollars,43250
2012,Nunavut,Less: current transfers paid,Dollars,43580
2013,Nunavut,Less: current transfers paid,Dollars,44286
2014,Nunavut,Less: current transfers paid,Dollars,46100
2015,Nunavut,Less: current transfers paid,Dollars,49087
2016,Nunavut,Less: current transfers paid,Dollars,48462
2017,Nunavut,Less: current transfers paid,Dollars,50234
2018,Nunavut,Less: current transfers paid,Dollars,54270
2019,Nunavut,Less: current transfers paid,Dollars,56226
2020,Nunavut,Less: current transfers paid,Dollars,54841
2010,Nunavut,Social transfers in kind (STiK): education,Dollars,22321
2011,Nunavut,Social transfers in kind (STiK): education,Dollars,21036
2012,Nunavut,Social transfers in kind (STiK): education,Dollars,22034
2013,Nunavut,Social transfers in kind (STiK): education,Dollars,20842
2014,Nunavut,Social transfers in kind (STiK): education,Dollars,20781
2015,Nunavut,Social transfers in kind (STiK): education,Dollars,20523
2016,Nunavut,Social transfers in kind (STiK): education,Dollars,20066
2017,Nunavut,Social transfers in kind (STiK): education,Dollars,20469
2018,Nunavut,Social transfers in kind (STiK): education,Dollars,20730
2019,Nunavut,Social transfers in kind (STiK): education,Dollars,20243
2020,Nunavut,Social transfers in kind (STiK): education,Dollars,20913
2010,Nunavut,Social transfers in kind (STiK): health,Dollars,33984
2011,Nunavut,Social transfers in kind (STiK): health,Dollars,34076
2012,Nunavut,Social transfers in kind (STiK): health,Dollars,36783
2013,Nunavut,Social transfers in kind (STiK): health,Dollars,37019
2014,Nunavut,Social transfers in kind (STiK): health,Dollars,37851
2015,Nunavut,Social transfers in kind (STiK): health,Dollars,39519
2016,Nunavut,Social transfers in kind (STiK): health,Dollars,40549
2017,Nunavut,Social transfers in kind (STiK): health,Dollars,42552
2018,Nunavut,Social transfers in kind (STiK): health,Dollars,46179
2019,Nunavut,Social transfers in kind (STiK): health,Dollars,47578
2020,Nunavut,Social transfers in kind (STiK): health,Dollars,48286
